location,checkout,dairy,drinks,fruit,spices
entrance,0.361796843383246,0.158640226628895,0.15216511533792,0.175637393767705,0.151760420882234
dairy,0.262860727728984,0.204516938519448,0.165621079046424,0.227101631116688,0.139899623588457
drinks,0.291757840991977,0.181619256017505,0.167031363967907,0.210795040116703,0.148796498905908
fruit,0.240462427745665,0.205780346820809,0.165895953757225,0.224277456647399,0.163583815028902
spices,0.269866247049567,0.21243115656963,0.169158143194335,0.202202989771833,0.146341463414634
