location,checkout,dairy,drinks,fruit,spices
entrance,0.362010221465077,0.176746166950596,0.155451448040886,0.168228279386712,0.137563884156729
dairy,0.272427440633245,0.205804749340369,0.146437994722955,0.222955145118733,0.152374670184697
drinks,0.304166666666667,0.183333333333333,0.155833333333333,0.200833333333333,0.155833333333333
fruit,0.251396648044693,0.209807572936065,0.151458721291124,0.229671011793917,0.157666045934202
spices,0.263422818791946,0.194630872483221,0.152684563758389,0.223993288590604,0.165268456375839
